Unnamed: 0,Title,Genre,Premiere,Runtime,IMDB Score,Language,is_original
0,Enter the Anime,Documentary,"August 5, 2019",58,2.5,English/Japanese,True
1,Dark Forces,Thriller,"August 21, 2020",81,2.6,Spanish,True
2,The App,Science fiction/Drama,"December 26, 2019",79,2.6,Italian,True
3,The Open House,Horror thriller,"January 19, 2018",94,3.2,English,True
4,Kaali Khuhi,Mystery,"October 30, 2020",90,3.4,Hindi,True
5,Drive,Action,"November 1, 2019",147,3.5,Hindi,True
6,Leyla Everlasting,Comedy,"December 4, 2020",112,3.7,Turkish,True
7,The Last Days of American Crime,Heist film/Thriller,"June 5, 2020",149,3.7,English,True
8,Paradox,Musical/Western/Fantasy,"March 23, 2018",73,3.9,English,True
9,Sardar Ka Grandson,Comedy,"May 18, 2021",139,4.1,Hindi,True
11,The Call,Drama,"November 27, 2020",112,4.1,Korean,True
12,Whipped,Romantic comedy,"September 18, 2020",97,4.1,Indonesian,True
13,All Because of You,Action comedy,"October 1, 2020",101,4.2,Malay,True
14,Mercy,Thriller,"November 22, 2016",90,4.2,English,True
15,After the Raid,Documentary,"December 19, 2019",25,4.3,Spanish,True
16,Ghost Stories,Horror anthology,"January 1, 2020",144,4.3,Hindi,True
17,The Last Thing He Wanted,Political thriller,"February 21, 2020",115,4.3,English,True
18,What Happened to Mr. Cha?,Comedy,"January 1, 2021",102,4.3,Korean,True
19,Death Note,Horror thriller,"August 25, 2017",100,4.4,English,True
21,Secret Obsession,Thriller,"July 18, 2019",97,4.4,English,True
22,Sextuplets,Comedy,"August 16, 2019",99,4.4,English,True
23,The Girl on the Train,Thriller,"February 26, 2021",120,4.4,Hindi,True
24,Thunder Force,Superhero-Comedy,"April 9, 2021",105,4.4,English,True
25,Fatal Affair,Thriller,"July 16, 2020",89,4.5,English,True
26,Just Say Yes,Romantic comedy,"April 2, 2021",97,4.5,Dutch,True
27,Seriously Single,Comedy,"July 31, 2020",107,4.5,English,True
28,The Misadventures of Hedi and Cokeman,Comedy,"February 10, 2021",99,4.5,French,True
29,5 Star Christmas,Comedy,"December 7, 2018",95,4.6,Italian,True
30,After Maria,Documentary,"May 24, 2019",37,4.6,English/Spanish,True
31,I Am the Pretty Thing That Lives in the House,Horror,"October 28, 2016",89,4.6,English,True
32,Paris Is Us,Romance drama,"February 22, 2019",83,4.6,French,True
34,Rattlesnake,Horror,"October 25, 2019",85,4.6,English,True
35,The Players,Comedy,"July 15, 2020",88,4.6,Italian,True
36,We Are One,Documentary,"July 14, 2020",86,4.6,French,True
37,Finding Agnes,Drama,"November 30, 2020",105,4.7,Filipino,True
38,IO,Science fiction/Drama,"January 18, 2019",95,4.7,English,True
39,Sentinelle,Action,"March 5, 2021",80,4.7,French,True
40,Sol Levante,Anime / Short,"April 2, 2020",4,4.7,English,True
41,The Binding,Drama,"October 2, 2020",93,4.7,Italian,True
42,We Can Be Heroes,Superhero,"December 25, 2020",100,4.7,English,True
43,Christmas Crossfire,Thriller,"December 4, 2020",106,4.8,German,True
